"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Luca Cigarini","Defensive Midfield",23,"Atalanta","Serie A","SSC Napoli","Serie A","2009-2010",7000000,11000000
"Obafemi Martins","Centre-Forward",24,"Newcastle","Championship","VfL Wolfsburg","1.Bundesliga","2009-2010",12500000,10500000
"Peter Crouch","Centre-Forward",28,"Portsmouth","Premier League","Spurs","Premier League","2009-2010",10000000,10500000
"Sergio Floccari","Centre-Forward",27,"Atalanta","Serie A","Genoa","Serie A","2009-2010",9000000,10500000
"Leonardo Bonucci","Centre-Back",22,"Genoa","Serie A","Bari","Serie A","2009-2010",400000,10500000
"Thiago Motta","Defensive Midfield",26,"Genoa","Serie A","Inter","Serie A","2009-2010",7000000,10200000
"Lukas Podolski","Centre-Forward",24,"Bayern Munich ","1.Bundesliga","1. FC Köln","1.Bundesliga","2009-2010",12000000,10000000
"Marcus Berg","Centre-Forward",22,"FC Groningen","Eredivisie","Hamburger SV","1.Bundesliga","2009-2010",8000000,10000000
"Diniyar Bilyaletdinov","Attacking Midfield",24,"Loko Moscow","Premier Liga","Everton","Premier League","2009-2010",6700000,10000000
"McDonald Mariga","Defensive Midfield",22,"Parma","Serie A","Inter","Serie A","2009-2010",6000000,10000000
"Daniele Galloppa","Central Midfield",24,"Siena","Serie A","Parma","Serie A","2009-2010",4000000,10000000
"Fabian Delph","Central Midfield",19,"Leeds","League One","Aston Villa","Premier League","2009-2010",100000,9500000
"Sébastien Bassong","Centre-Back",23,"Newcastle","Championship","Spurs","Premier League","2009-2010",5200000,9300000
"Didier Zokora","Defensive Midfield",28,"Spurs","Premier League","Sevilla FC","LaLiga","2009-2010",8500000,9000000
"Vladimir Bystrov","Right Midfield",25,"Spartak Moscow","Premier Liga","Zenit S-Pb","Premier Liga","2009-2010",6300000,9000000
"Eljero Elia","Left Winger",22,"FC Twente","Eredivisie","Hamburger SV","1.Bundesliga","2009-2010",6000000,9000000
"Mehmet Topuz","Right Midfield",25,"Kayserispor","Süper Lig","Fenerbahce","Süper Lig","2009-2010",5700000,9000000
"Stephen Warnock","Left-Back",27,"Blackburn","Premier League","Aston Villa","Premier League","2009-2010",5100000,9000000
"Mevlüt Erdinc","Centre-Forward",22,"FC Sochaux","Ligue 1","Paris SG","Ligue 1","2009-2010",7500000,8500000
"Camilo Zúñiga","Right-Back",23,"Siena","Serie A","SSC Napoli","Serie A","2009-2010",1800000,8500000
"Marko Marin","Left Winger",20,"Bor. M'gladbach","1.Bundesliga","Werder Bremen","1.Bundesliga","2009-2010",9000000,8200000
"Djibril Cissé","Centre-Forward",27,"Marseille","Ligue 1","Panathinaikos","Super League","2009-2010",10500000,8000000
"Zdravko Kuzmanovic","Central Midfield",21,"Fiorentina","Serie A","VfB Stuttgart","1.Bundesliga","2009-2010",8000000,8000000
"Oleksandr Aliyev","Attacking Midfield",24,"Dynamo Kyiv","Premier Liga","Loko Moscow","Premier Liga","2009-2010",7000000,8000000
"Demy de Zeeuw","Central Midfield",26,"AZ Alkmaar","Eredivisie","AFC Ajax","Eredivisie","2009-2010",6500000,8000000
"Cédric Carrasso","Goalkeeper",27,"Toulouse","Ligue 1","G. Bordeaux","Ligue 1","2009-2010",6000000,8000000
"Adam Johnson","Right Winger",22,"Middlesbrough","Championship","Man City","Premier League","2009-2010",4500000,8000000
"Douglas Costa","Right Winger",19,"Grêmio","Série A","Shakhtar D.","Premier Liga","2009-2010",4000000,8000000
"Rodrigo Tabata","Attacking Midfield",28,"Gaziantepspor","Süper Lig","Besiktas","Süper Lig","2009-2010",3500000,8000000
"Eduardo Salvio","Right Winger",19,"Lanús","Torneo Final","Atlético Madrid","LaLiga","2009-2010",3500000,8000000
"Dejan Lovren","Centre-Back",20,"Dinamo Zagreb","1.HNL","Olympique Lyon","Ligue 1","2009-2010",2500000,8000000
"Danijel Pranjic","Left-Back",27,"Heerenveen","Eredivisie","Bayern Munich ","1.Bundesliga","2009-2010",9000000,7700000
"Kevin Doyle","Centre-Forward",25,"Reading","Championship","Wolves","Premier League","2009-2010",4000000,7600000
"Abdul Kader Keita","Right Winger",27,"Olympique Lyon","Ligue 1","Galatasaray","Süper Lig","2009-2010",8000000,7500000
"Ramires","Central Midfield",22,"Cruzeiro","Série A","Benfica","Liga NOS","2009-2010",8000000,7500000
"Leandro","Centre-Forward",24,"Gamba Osaka","J1 League","Al Sadd"," Qatar","2009-2010",2500000,7500000
"Alessandro Rosina","Second Striker",25,"Torino","Serie B","Zenit S-Pb","Premier Liga","2009-2010",11000000,7300000
"Daniel Sturridge","Centre-Forward",19,"Man City","Premier League","Chelsea","Premier League","2009-2010",3000000,7250000
"Lúcio","Centre-Back",31,"Bayern Munich ","1.Bundesliga","Inter","Serie A","2009-2010",18000000,7000000
"Elano","Attacking Midfield",28,"Man City","Premier League","Galatasaray","Süper Lig","2009-2010",12500000,7000000
"Josip Simunic","Centre-Back",31,"Hertha BSC","1.Bundesliga","TSG Hoffenheim","1.Bundesliga","2009-2010",9000000,7000000
"Karim Ziani","Attacking Midfield",26,"Marseille","Ligue 1","VfL Wolfsburg","1.Bundesliga","2009-2010",6500000,7000000
"Cristian","Defensive Midfield",26,"Corinthians","Série A","Fenerbahce","Süper Lig","2009-2010",6000000,7000000
"Nikola Kalinic","Centre-Forward",21,"Hajduk Split","1.HNL","Blackburn","Premier League","2009-2010",6000000,7000000
"Thiago Neves","Attacking Midfield",24,"Hamburger SV","1.Bundesliga","Hilal","Professional League","2009-2010",5000000,7000000
"Robert Huth","Centre-Back",24,"Middlesbrough","Championship","Stoke City","Premier League","2009-2010",4000000,7000000
"Javi García","Defensive Midfield",22,"Real Madrid","LaLiga","Benfica","Liga NOS","2009-2010",4000000,7000000
"Lee Cattermole","Defensive Midfield",21,"Wigan","Premier League","Sunderland","Premier League","2009-2010",3700000,7000000
"Hugo Campagnaro","Centre-Back",29,"Sampdoria","Serie A","SSC Napoli","Serie A","2009-2010",3200000,7000000
"Emiliano Viviano","Goalkeeper",23,"Brescia","Serie B","Inter","Serie A","2009-2010",3000000,7000000
"Javier Pastore","Attacking Midfield",20,"Huracán","Torneo Final","US Palermo","Serie A","2009-2010",3000000,7000000
"José Sand","Centre-Forward",29,"Lanús","Torneo Final","Al-Ain FC"," United Arab Emirates","2009-2010",4500000,6950000
"Richard Dunne","Centre-Back",29,"Man City","Premier League","Aston Villa","Premier League","2009-2010",9500000,6800000
"Johnny Heitinga","Centre-Back",25,"Atlético Madrid","LaLiga","Everton","Premier League","2009-2010",8000000,6800000
"Adem Ljajic","Attacking Midfield",18,"Partizan","SuperLiga","Fiorentina","Serie A","2009-2010",4500000,6800000
"Alessandro Diamanti","Second Striker",26,"AS Livorno","Serie A","West Ham","Premier League","2009-2010",3500000,6800000
"Aleksandr Kerzhakov","Centre-Forward",27,"Dinamo Moscow","Premier Liga","Zenit S-Pb","Premier Liga","2009-2010",8500000,6500000
"Sylvain Distin","Centre-Back",31,"Portsmouth","Premier League","Everton","Premier League","2009-2010",8300000,6500000
"Souleymane Diawara","Centre-Back",30,"G. Bordeaux","Ligue 1","Marseille","Ligue 1","2009-2010",7500000,6500000
"Florent Sinama-Pongolle","Second Striker",25,"Atlético Madrid","LaLiga","Sporting CP","Liga NOS","2009-2010",7000000,6500000
"Gervinho","Left Winger",22,"Le Mans","Ligue 1","LOSC Lille","Ligue 1","2009-2010",6000000,6500000
"Mark González","Left Winger",25,"Real Betis","LaLiga2","CSKA Moscow","Premier Liga","2009-2010",5000000,6500000
"Álvaro Pereira","Left-Back",23,"CFR Cluj","Liga 1","FC Porto","Liga NOS","2009-2010",3250000,6500000
"Savio Nsereko","Right Winger",20,"West Ham","Premier League","Fiorentina","Serie A","2009-2010",4000000,6200000
"Gonzalo Bergessio","Centre-Forward",25,"San Lorenzo","Torneo Final","Saint-Étienne","Ligue 1","2009-2010",3300000,6200000
"Wagner","Attacking Midfield",24,"Cruzeiro","Série A","Loko Moscow","Premier Liga","2009-2010",4500000,6000000
"David Rozehnal","Centre-Back",29,"Lazio","Serie A","Hamburger SV","1.Bundesliga","2009-2010",4000000,6000000
"Matuzalém","Defensive Midfield",29,"Real Zaragoza","LaLiga","Lazio","Serie A","2009-2010",4000000,6000000
"Alex Teixeira","Attacking Midfield",20,"Vasco da Gama","Série A","Shakhtar D.","Premier Liga","2009-2010",3500000,6000000
"Keisuke Honda","Right Winger",23,"VVV-Venlo","Eredivisie","CSKA Moscow","Premier Liga","2009-2010",3000000,6000000
"Iván Marcano","Centre-Back",22,"Racing","LaLiga","Villarreal CF","LaLiga","2009-2010",3000000,6000000
"Oscar","Attacking Midfield",18,"São Paulo","Série A","Internacional","Série A","2009-2010",500000,6000000
"Younès Kaboul","Centre-Back",24,"Portsmouth","Premier League","Spurs","Premier League","2009-2010",5700000,5900000
"Roger Johnson","Centre-Back",26,"Cardiff","Championship","Birmingham","Premier League","2009-2010",2000000,5900000
"Kyle Naughton","Right-Back",20,"Sheffield Utd.","Championship","Spurs","Premier League","2009-2010",400000,5900000
"Kyle Walker","Right-Back",19,"Sheffield Utd.","Championship","Spurs","Premier League","2009-2010",50000,5900000
"Lorik Cana","Centre-Back",25,"Marseille","Ligue 1","Sunderland","Premier League","2009-2010",14000000,5800000
"Tuncay Sanli","Left Winger",27,"Middlesbrough","Championship","Stoke City","Premier League","2009-2010",9800000,5700000
"Davi","Centre-Forward",25,"Nagoya Grampus","J1 League","Umm Salal"," Qatar","2009-2010",3000000,5700000
"James Collins","Centre-Back",26,"West Ham","Premier League","Aston Villa","Premier League","2009-2010",2000000,5700000
"Bryan Ruíz","Left Midfield",23,"KAA Gent","Jupiler Pro League","FC Twente","Eredivisie","2009-2010",5000000,5500000
"Ikechukwu Uche","Centre-Forward",25,"Getafe CF","LaLiga","Real Zaragoza","LaLiga","2009-2010",4000000,5500000
"Sergio Asenjo","Goalkeeper",20,"Real Valladolid","LaLiga","Atlético Madrid","LaLiga","2009-2010",4000000,5500000
"Lorenzo De Silvestri","Right-Back",21,"Lazio","Serie A","Fiorentina","Serie A","2009-2010",3200000,5500000
"Ismail Köybasi","Left-Back",20,"Gaziantepspor","Süper Lig","Besiktas","Süper Lig","2009-2010",2500000,5500000
"Falcao","Centre-Forward",23,"River Plate","Torneo Final","FC Porto","Liga NOS","2009-2010",6500000,5430000
"Houssine Kharja","Central Midfield",26,"Siena","Serie A","Genoa","Serie A","2009-2010",4000000,5200000
"James McCarthy","Central Midfield",18,"Hamilton Acad.","Premiership","Wigan","Premier League","2009-2010",1250000,5100000
"Maxwell","Left-Back",27,"Inter","Serie A","FC Barcelona","LaLiga","2009-2010",13500000,5000000
"Álvaro Negredo","Centre-Forward",23,"UD Almería","LaLiga","Real Madrid","LaLiga","2009-2010",12000000,5000000
"Marco Amelia","Goalkeeper",27,"US Palermo","Serie A","Genoa","Serie A","2009-2010",10000000,5000000
"Fernando Belluschi","Attacking Midfield",25,"Olympiacos","Super League","FC Porto","Liga NOS","2009-2010",8500000,5000000
"André Santos","Attacking Midfield",26,"Corinthians","Série A","Fenerbahce","Süper Lig","2009-2010",6000000,5000000
"Danko Lazovic","Second Striker",26,"PSV Eindhoven","Eredivisie","Zenit S-Pb","Premier Liga","2009-2010",5500000,5000000
"Réver","Centre-Back",25,"Grêmio","Série A","VfL Wolfsburg","1.Bundesliga","2009-2010",5500000,5000000
"Javier Saviola","Second Striker",27,"Real Madrid","LaLiga","Benfica","Liga NOS","2009-2010",5000000,5000000
"Matteo Ferrari","Centre-Back",29,"Genoa","Serie A","Besiktas","Süper Lig","2009-2010",5000000,5000000
"Rubinho","Goalkeeper",27,"Genoa","Serie A","US Palermo","Serie A","2009-2010",5000000,5000000
"Miguel Ángel Moyà","Goalkeeper",25,"RCD Mallorca","LaLiga","Valencia CF","LaLiga","2009-2010",5000000,5000000
"Yevgen Seleznov","Centre-Forward",24,"Shakhtar D.","Premier Liga","Dnipro","Premier Liga","2009-2010",4250000,5000000
"Roman Eremenko","Attacking Midfield",22,"Udinese Calcio","Serie A","Dynamo Kyiv","Premier Liga","2009-2010",3500000,5000000
"Franco Semioli","Right Winger",29,"Fiorentina","Serie A","Sampdoria","Serie A","2009-2010",3000000,5000000
"Boubacar Sanogo","Centre-Forward",26,"Werder Bremen","1.Bundesliga","Saint-Étienne","Ligue 1","2009-2010",3000000,5000000
"Fernando Baiano","Centre-Forward",30,"Al-Jazira"," United Arab Emirates","Al-Wahda FC"," United Arab Emirates","2009-2010",3000000,5000000
"Daniele Vantaggiato","Centre-Forward",25,"Parma","Serie A","Padova","Serie B","2009-2010",3000000,5000000
"Erwin Hoffer","Centre-Forward",22,"Rapid Vienna","Bundesliga","SSC Napoli","Serie A","2009-2010",2600000,5000000
"Alan Kasaev","Left Winger",23,"Kuban Krasnodar","Premier Liga","Rubin Kazan","Premier Liga","2009-2010",2500000,5000000
"Riccardo Meggiorini","Second Striker",23,"Inter","Serie A","Genoa","Serie A","2009-2010",1800000,5000000
"Andrea Pisanu","Right Midfield",28,"Parma","Serie A","Bologna","Serie A","2009-2010",1750000,5000000
"Alessandro Budel","Defensive Midfield",28,"Parma","Serie A","Brescia","Serie B","2009-2010",850000,5000000
"Rodrigo Palacio","Centre-Forward",27,"Boca Juniors","Torneo Final","Genoa","Serie A","2009-2010",9500000,4900000
"Pavel Pogrebnyak","Centre-Forward",25,"Zenit S-Pb","Premier Liga","VfB Stuttgart","1.Bundesliga","2009-2010",9000000,4800000
"Zat Knight","Centre-Back",29,"Aston Villa","Premier League","Bolton","Premier League","2009-2010",5000000,4700000
"Michael Chopra","Centre-Forward",25,"Sunderland","Premier League","Cardiff","Championship","2009-2010",4500000,4700000
"Steven Fletcher","Centre-Forward",22,"Hibernian FC","Premiership","Burnley","Premier League","2009-2010",4000000,4700000
"Igor Semshov","Central Midfield",31,"Zenit S-Pb","Premier Liga","Dinamo Moscow","Premier Liga","2009-2010",3500000,4700000
"Franco Zuculini","Central Midfield",18,"Racing Club","Torneo Final","TSG Hoffenheim","1.Bundesliga","2009-2010",3000000,4600000
"Alberto Zapater","Defensive Midfield",24,"Real Zaragoza","LaLiga","Genoa","Serie A","2009-2010",8000000,4500000
"Marco Marchionni","Right Midfield",29,"Juventus","Serie A","Fiorentina","Serie A","2009-2010",6000000,4500000
"Aleksandr Samedov","Right Winger",25,"FK Moskau"," Russia","Dinamo Moscow","Premier Liga","2009-2010",3800000,4500000
"Özer Hurmaci","Attacking Midfield",22,"Osmanlispor","Süper Lig","Fenerbahce","Süper Lig","2009-2010",3500000,4500000
"Kevin-Prince Boateng","Central Midfield",22,"Spurs","Premier League","Portsmouth","Premier League","2009-2010",3000000,4500000
"Édgar Barreto","Central Midfield",24,"Reggina","Serie B","Atalanta","Serie A","2009-2010",2500000,4500000
"Reginaldo","Centre-Forward",25,"Parma","Serie A","Siena","Serie A","2009-2010",2000000,4500000
"Nenê","Centre-Forward",25,"Nacional","Liga NOS","Cagliari Calcio","Serie A","2009-2010",2000000,4500000
"Maicosuel","Left Winger",23,"Desp. Brasil"," Brazil","TSG Hoffenheim","1.Bundesliga","2009-2010",2000000,4500000
"Mame Diouf","Centre-Forward",21,"Molde FK","Eliteserien","Man Utd","Premier League","2009-2010",2000000,4500000
"Leandro Almeida","Centre-Back",22,"Atlético-MG","Série A","Dynamo Kyiv","Premier Liga","2009-2010",1500000,4500000
"Marc-Antoine Fortuné","Centre-Forward",28,"AS Nancy","Ligue 1","Celtic","Premiership","2009-2010",3600000,4400000
"Scott McDonald","Centre-Forward",26,"Celtic","Premiership","Middlesbrough","Championship","2009-2010",6000000,4300000
"Nihat Kahveci","Centre-Forward",29,"Villarreal CF","LaLiga","Besiktas","Süper Lig","2009-2010",10000000,4250000
"Alex Frei","Centre-Forward",30,"Bor. Dortmund","1.Bundesliga","FC Basel","Super League","2009-2010",8000000,4250000
"Aquivaldo Mosquera","Centre-Back",28,"Sevilla FC","LaLiga","América","Liga MX Clausura","2009-2010",4000000,4200000
"Raúl Bobadilla","Centre-Forward",22,"Grasshoppers","Super League","Bor. M'gladbach","1.Bundesliga","2009-2010",4000000,4200000
"Mats Hummels","Centre-Back",20,"Bayern Munich ","1.Bundesliga","Bor. Dortmund","1.Bundesliga","2009-2010",4000000,4200000
"Edgaras Cesnauskis","Left Midfield",25,"FK Moskau"," Russia","Dinamo Moscow","Premier Liga","2009-2010",3700000,4200000
"Lucas Barrios","Centre-Forward",24,"Colo Colo","Primera División","Bor. Dortmund","1.Bundesliga","2009-2010",2400000,4200000
"Fraizer Campbell","Centre-Forward",21,"Man Utd","Premier League","Sunderland","Premier League","2009-2010",2800000,4100000
"Douglas","Attacking Midfield",27,"Corinthians","Série A","Al-Wasl"," United Arab Emirates","2009-2010",2700000,4100000
"Álvaro Arbeloa","Right-Back",26,"Liverpool","Premier League","Real Madrid","LaLiga","2009-2010",11000000,4000000
"Pedro León","Right Winger",22,"Real Valladolid","LaLiga","Getafe CF","LaLiga","2009-2010",6000000,4000000
"Damien Duff","Right Midfield",30,"Newcastle","Championship","Fulham","Premier League","2009-2010",5700000,4000000
"Zé Roberto","Left Midfield",35,"Nacional","Primera División","Hamburger SV","1.Bundesliga","2009-2010",5000000,4000000
"Ibson","Central Midfield",25,"FC Porto","Liga NOS","Spartak Moscow","Premier Liga","2009-2010",5000000,4000000
"Mathieu Coutadeur","Central Midfield",23,"Le Mans","Ligue 1","Monaco","Ligue 1","2009-2010",5000000,4000000
"Esteban Granero","Central Midfield",22,"Getafe CF","LaLiga","Real Madrid","LaLiga","2009-2010",5000000,4000000
"Pablo Barrientos","Right Winger",24,"FK Moskau","Premier Liga","Catania","Serie A","2009-2010",4200000,4000000
"Stephen Hunt","Left Midfield",28,"Reading","Championship","Hull City","Premier League","2009-2010",4000000,4000000
"Orlando Engelaar","Defensive Midfield",29,"FC Schalke 04","1.Bundesliga","PSV Eindhoven","Eredivisie","2009-2010",3500000,4000000
"Michaël Ciani","Centre-Back",25,"FC Lorient","Ligue 1","G. Bordeaux","Ligue 1","2009-2010",3000000,4000000
"Sebastián Leto","Left Winger",22,"Liverpool","Premier League","Panathinaikos","Super League","2009-2010",3000000,4000000
"Gabriel Obertan","Right Winger",20,"G. Bordeaux","Ligue 1","Man Utd","Premier League","2009-2010",3000000,4000000
"Brown Ideye","Centre-Forward",21,"Neuchâtel Xamax","Super League","FC Sochaux","Ligue 1","2009-2010",3000000,4000000
"Gaël Givet","Centre-Back",27,"Marseille","Ligue 1","Blackburn","Premier League","2009-2010",2700000,4000000
"Éder Luís","Right Winger",24,"Atlético-MG","Série A","Benfica","Liga NOS","2009-2010",2000000,4000000
"Juan Forlín","Centre-Back",21,"Boca Juniors","Torneo Final","Espanyol","LaLiga","2009-2010",2000000,4000000
"Maicón","Right Winger",20,"Desp. Brasil"," Brazil","Loko Moscow","Premier Liga","2009-2010",2000000,4000000
